epoch,test_acc,train_loss_updated,test_loss
0.0,0.0135,2.067050845921039,0.07662047564983368
1.0,0.0091,2.3101169443130494,0.08189317331314087
2.0,0.0129,2.3637698974212014,0.0940416256904602
3.0,0.0396,2.4125241841872533,0.13186778216362
4.0,0.0805,2.4476339513063428,0.41776160221099856
5.0,0.0881,2.351718674898148,0.7180648881912232
6.0,0.0892,2.6720776190360387,2.116595458984375
7.0,0.0892,2.554038477142652,2.5046521129608155
8.0,0.0892,2.667048550844193,5.189529457092285
9.0,0.0892,2.6808123014370615,27.93269140625
10.0,0.0892,1.9579223271210993,269.63630791015623
11.0,0.0892,1.3660356649259724,970.0510603515625
12.0,0.0892,1.6287873915831248,1264.4306283203125
13.0,0.0892,1.7534218739469847,24018.02328125
14.0,0.0892,1.207052826533715,88478.099725
15.0,0.0892,2.4327040289839106,1022285.5412
16.0,0.0874,2.226577239533266,7226.04882890625
17.0,0.0892,2.1912325083216033,170513.4381
18.0,0.0892,2.2233051700393363,16497283.1168
19.0,0.0892,2.309386705259482,95930182664.192
20.0,0.0892,2.3310153720776237,1.773885371575039e+17
21.0,0.0892,2.3328909341494244,1.4828265481395928e+30
22.0,0.098,2.315722907582919,
23.0,0.098,,
24.0,0.098,,
25.0,0.098,,
26.0,0.098,,
27.0,0.098,,
28.0,0.098,,
29.0,0.098,,
30.0,0.098,,
31.0,0.098,,
32.0,0.098,,
33.0,0.098,,
34.0,0.098,,
35.0,0.098,,
36.0,0.098,,
37.0,0.098,,
38.0,0.098,,
39.0,0.098,,
40.0,0.098,,
41.0,0.098,,
42.0,0.098,,
43.0,0.098,,
44.0,0.098,,
45.0,0.098,,
46.0,0.098,,
47.0,0.098,,
48.0,0.098,,
49.0,0.098,,
50.0,0.098,,
51.0,0.098,,
52.0,0.098,,
53.0,0.098,,
54.0,0.098,,
55.0,0.098,,
56.0,0.098,,
57.0,0.098,,
58.0,0.098,,
59.0,0.098,,
60.0,0.098,,
61.0,0.098,,
62.0,0.098,,
63.0,0.098,,
64.0,0.098,,
65.0,0.098,,
66.0,0.098,,
67.0,0.098,,
68.0,0.098,,
69.0,0.098,,
70.0,0.098,,
71.0,0.098,,
72.0,0.098,,
73.0,0.098,,
74.0,0.098,,
75.0,0.098,,
76.0,0.098,,
77.0,0.098,,
78.0,0.098,,
79.0,0.098,,
80.0,0.098,,
81.0,0.098,,
82.0,0.098,,
83.0,0.098,,
84.0,0.098,,
85.0,0.098,,
86.0,0.098,,
87.0,0.098,,
88.0,0.098,,
89.0,0.098,,
90.0,0.098,,
91.0,0.098,,
92.0,0.098,,
93.0,0.098,,
94.0,0.098,,
95.0,0.098,,
96.0,0.098,,
97.0,0.098,,
98.0,0.098,,
99.0,0.098,,
100.0,0.098,,
101.0,0.098,,
102.0,0.098,,
103.0,0.098,,
104.0,0.098,,
105.0,0.098,,
106.0,0.098,,
107.0,0.098,,
108.0,0.098,,
109.0,0.098,,
110.0,0.098,,
111.0,0.098,,
112.0,0.098,,
113.0,0.098,,
114.0,0.098,,
115.0,0.098,,
116.0,0.098,,
117.0,0.098,,
118.0,0.098,,
119.0,0.098,,
120.0,0.098,,
121.0,0.098,,
122.0,0.098,,
123.0,0.098,,
124.0,0.098,,
125.0,0.098,,
126.0,0.098,,
127.0,0.098,,
128.0,0.098,,
129.0,0.098,,
130.0,0.098,,
131.0,0.098,,
132.0,0.098,,
133.0,0.098,,
134.0,0.098,,
135.0,0.098,,
136.0,0.098,,
137.0,0.098,,
138.0,0.098,,
139.0,0.098,,
140.0,0.098,,
141.0,0.098,,
142.0,0.098,,
143.0,0.098,,
144.0,0.098,,
145.0,0.098,,
146.0,0.098,,
147.0,0.098,,
148.0,0.098,,
149.0,0.098,,
150.0,0.098,,
151.0,0.098,,
152.0,0.098,,
153.0,0.098,,
154.0,0.098,,
155.0,0.098,,
156.0,0.098,,
157.0,0.098,,
158.0,0.098,,
159.0,0.098,,
160.0,0.098,,
161.0,0.098,,
162.0,0.098,,
163.0,0.098,,
164.0,0.098,,
165.0,0.098,,
166.0,0.098,,
167.0,0.098,,
168.0,0.098,,
169.0,0.098,,
