epoch,test_acc,train_loss_updated,test_loss
0.0,0.1073,2.3033012757698694,0.07197381751537323
1.0,0.1291,2.294210002024969,0.07156488528251648
2.0,0.1537,2.284456317623456,0.07119619941711426
3.0,0.1878,2.2747308152914045,0.07084189307689667
4.0,0.2229,2.267167143026987,0.0704919373512268
5.0,0.2652,2.253461537162463,0.07008634917736054
6.0,0.3072,2.242455358703931,0.06965696775913238
7.0,0.3544,2.226304877996445,0.06917134070396423
8.0,0.4022,2.2150920194387442,0.06870433571338654
9.0,0.4481,2.2154296429951983,0.06827220425605773
10.0,0.4869,2.2077474478880568,0.06785158059597016
11.0,0.529,2.186211843291919,0.06733518385887147
12.0,0.5588,2.162776088515918,0.06676106201410294
13.0,0.5817,2.177078094482422,0.06631225188970566
14.0,0.6046,2.1359813117980955,0.06570801577568054
15.0,0.6201,2.129870980282625,0.06511754231452942
16.0,0.6331,2.09432242890199,0.06441554169654846
17.0,0.6406,2.1248306338985756,0.06387742675542832
18.0,0.6493,2.100798919101556,0.06327380784749985
19.0,0.6552,2.095510569512844,0.06268840571641922
20.0,0.6628,2.049164255758126,0.06195975260734558
21.0,0.6703,2.039664252301057,0.06123696576356888
22.0,0.6755,2.0112317705154417,0.0604716947555542
23.0,0.6806,2.0023048283656437,0.05970041054487228
24.0,0.6845,2.013471880753836,0.05904473012685776
25.0,0.691,1.964725773235162,0.058220592057704926
26.0,0.6962,1.9567644102374726,0.05739488509893417
27.0,0.7007,1.8815638037522624,0.05637169408798218
28.0,0.7066,1.8974154622356096,0.05548845013380051
29.0,0.7131,1.8033285291989642,0.05434298173189163
30.0,0.7173,1.8656935369968415,0.0534849374294281
31.0,0.7212,1.826686110099157,0.052508035051822666
32.0,0.7259,1.8382643353939052,0.05171516991853714
33.0,0.7286,1.7630987757444383,0.05072236441373825
34.0,0.7332,1.7771255310376486,0.0498114915728569
35.0,0.7353,1.7162494665384291,0.04881735602617264
36.0,0.7378,1.7955538492401444,0.04813372759819031
37.0,0.7426,1.6763738933205605,0.04715136144161224
38.0,0.7481,1.6041965239246685,0.04603349848985672
39.0,0.7525,1.604779146214327,0.04500685943365097
40.0,0.7564,1.5959737261136373,0.044069724237918856
41.0,0.76,1.5766671029726662,0.04315747219324112
42.0,0.7618,1.6055249655743438,0.042419529175758364
43.0,0.7647,1.5321945239603516,0.04154571444392204
44.0,0.7698,1.4857710192600881,0.040623290193080905
45.0,0.7724,1.553696724623442,0.03996966363787651
46.0,0.7774,1.45181616683801,0.03907526036500931
47.0,0.7807,1.3948117265601951,0.0381429442346096
48.0,0.783,1.5316235834360123,0.03766360556483269
49.0,0.784,1.5472512081762155,0.03727402992248535
50.0,0.7883,1.481562306582927,0.03666837865114212
51.0,0.7908,1.489442283809185,0.036141901695728305
52.0,0.7935,1.3849133275945982,0.0354767893075943
53.0,0.7965,1.3697628627717493,0.03475886269807815
54.0,0.7985,1.4195994359254835,0.034227616959810254
55.0,0.799,1.4723139565686385,0.03390198387503624
56.0,0.8011,1.3952005240817866,0.03341246647834778
57.0,0.8036,1.4243467910091083,0.03304243066906929
58.0,0.8048,1.3376994487643246,0.03257653834223747
59.0,0.806,1.4307947895924253,0.03223447943925858
60.0,0.8077,1.3260365509490173,0.03179251717329025
61.0,0.8084,1.4195384858051938,0.03163527646660805
62.0,0.8102,1.2658310293654602,0.031120403546094893
63.0,0.8105,1.3628108138342694,0.030822292453050612
64.0,0.8116,1.320408785541852,0.03046068397462368
65.0,0.8125,1.3838565555711588,0.030280646964907645
66.0,0.8125,1.2607126254836716,0.029917541110515596
67.0,0.8146,1.2866766313711802,0.029579827588796615
68.0,0.817,1.172610762069623,0.029080722078680992
69.0,0.8184,1.3149908101558687,0.028884166702628136
70.0,0.8193,1.0851961756249269,0.02824877272248268
71.0,0.8204,1.259418667505185,0.027988681027293204
72.0,0.8212,1.3320485718796653,0.027923352801799774
73.0,0.8229,1.2452743699153266,0.027697314447164535
74.0,0.8231,1.2692825137078763,0.027609283551573754
75.0,0.8243,1.1536483925580978,0.02726622087061405
76.0,0.8262,1.3041488468150302,0.027223884531855584
77.0,0.8278,1.1797700568288565,0.02699491187632084
78.0,0.8291,1.1805303250998254,0.026696631860733032
79.0,0.8305,1.0940643179416658,0.026307167139649392
80.0,0.8323,1.240676809574167,0.026277659571170807
81.0,0.8322,1.197956189612548,0.026164216062426568
82.0,0.8332,1.114321396475037,0.025796853300929068
83.0,0.8343,1.1428090114643177,0.02561933909356594
84.0,0.8358,1.1428840869416792,0.0254388460457325
85.0,0.8359,1.1336726332455873,0.025201231226325036
86.0,0.8379,1.091673313702146,0.024956995293498038
87.0,0.8381,1.0856808748841291,0.02479436208307743
88.0,0.8388,1.0342655708392463,0.02449072378575802
89.0,0.8404,1.074526781166593,0.02420325839817524
90.0,0.8413,0.9916456710050505,0.023843408328294752
91.0,0.8428,1.148040345311165,0.023836458599567414
92.0,0.8432,1.189341189910968,0.023847092589735986
93.0,0.8444,1.0543404460450012,0.02358930003941059
94.0,0.8441,1.255391949762901,0.023703855285048484
95.0,0.8441,1.1275669031590223,0.02360903845131397
96.0,0.8454,1.1258609181890886,0.02359387993812561
97.0,0.8451,1.0840770114709932,0.023335380083322525
98.0,0.8442,1.275349699507157,0.023619381254911424
99.0,0.8447,1.0784730976571641,0.02350259201526642
100.0,0.8456,0.9210913284122941,0.02311450263261795
101.0,0.8466,1.0315192310263712,0.02295371114015579
102.0,0.8471,0.9807516105721392,0.022714556279778482
103.0,0.8476,1.098116314510504,0.02271807741224766
104.0,0.8499,0.9009909419715404,0.02237603779435158
105.0,0.8493,1.17540192378064,0.02252350042760372
106.0,0.8498,1.0480827858547368,0.02245300266444683
107.0,0.8501,1.0498557778944573,0.022396080800890922
108.0,0.8519,1.0011228287468354,0.022241912361979484
109.0,0.8522,0.9669349921494723,0.021942590257525443
110.0,0.8539,0.9208760981510083,0.02171585714817047
111.0,0.8555,0.9564560309549173,0.021442926210165025
112.0,0.8553,0.9451828914632401,0.021267409877479077
113.0,0.8552,0.9783478244145712,0.02116692349910736
114.0,0.8562,0.9818158840884765,0.02101448605209589
115.0,0.8571,1.0287327861537534,0.02094865011125803
116.0,0.8579,1.0192683369666335,0.020870949237048627
117.0,0.8583,1.0240251115212837,0.02080920715332031
118.0,0.8586,1.1048619018991785,0.02098242192566395
119.0,0.8585,1.1772555867085852,0.021259248375892638
120.0,0.8586,1.0130354891965787,0.021139175099134447
121.0,0.8586,1.040930161426465,0.021194350668787956
122.0,0.86,0.8922016102075577,0.02082367139160633
123.0,0.8598,1.0364764323085551,0.02090363776087761
124.0,0.8603,0.9161130679026247,0.02077728678435087
125.0,0.861,0.9556399785975614,0.020674278987944127
126.0,0.8626,0.9510173774510623,0.02057841549515724
127.0,0.8624,1.0693268283953263,0.020687087161839007
128.0,0.8629,0.9879650875429314,0.020665570446848868
129.0,0.864,0.9102061161895589,0.020398905351758003
130.0,0.8632,1.0653777825708193,0.020584233589470386
131.0,0.8637,1.0658124751845997,0.020672655437886715
132.0,0.8639,1.0558064962675175,0.02075821315199137
133.0,0.8648,0.9359870761136213,0.020545383261144162
134.0,0.8653,1.0148715632905563,0.02054524023383856
135.0,0.8663,0.8552833375086388,0.020171260447800158
136.0,0.8661,0.9707183048625787,0.020111880469322205
137.0,0.8661,1.0047239732742308,0.020202701100707054
138.0,0.8669,1.0058476545910042,0.020217290645837785
139.0,0.8674,0.9325965366264185,0.020039222317934036
140.0,0.8682,0.9242720325042804,0.020004563547670842
141.0,0.8696,0.8064526929209629,0.01965335391163826
142.0,0.87,0.8848074088742337,0.019500739407539366
143.0,0.8702,0.8770658524582782,0.019353043542802335
144.0,0.8708,0.9599120109279952,0.019390345084667207
145.0,0.8702,1.037726031293472,0.01960538085103035
146.0,0.8702,1.07138643078506,0.01983500044643879
147.0,0.8702,0.9874808041254681,0.01991954219043255
148.0,0.8709,0.9155550723274548,0.019816689574718476
149.0,0.8719,0.8683273267994325,0.019544067651033403
150.0,0.8725,0.9148235536615055,0.019387738612294196
151.0,0.8729,0.9468233299752077,0.019337675261497496
152.0,0.8728,1.0603530787179871,0.01956326949596405
153.0,0.8729,1.0134339580188196,0.01967528826147318
154.0,0.8729,0.9721559593329825,0.019683186702430248
155.0,0.8723,1.0102928249165415,0.019853018547594546
156.0,0.8737,0.8952596430232127,0.019638634246587752
157.0,0.8738,0.9375665193796159,0.019540623952448367
158.0,0.8744,0.9661288489152987,0.01945909836292267
159.0,0.8745,0.9716122108697892,0.01956013381630182
160.0,0.8754,0.78380250411729,0.019174119059741496
161.0,0.8756,1.0385530366251865,0.01939913390725851
162.0,0.8757,0.8926001969973244,0.01921375990062952
163.0,0.8765,0.8900433669239283,0.01912397771626711
164.0,0.8759,0.8894790346175432,0.018947708539664744
165.0,0.8758,0.9587207773327824,0.018969824668765067
166.0,0.8769,0.8418089063962301,0.018806254951655863
167.0,0.8776,0.9161917895327013,0.01866355821043253
168.0,0.8774,0.9934179900338254,0.018802496129274367
169.0,0.8774,0.8681192111720641,0.018731224265694617
170.0,0.8776,0.9108749376485742,0.01876213690638542
171.0,0.8776,0.984836400573452,0.0188894601136446
172.0,0.8783,0.7972594370444616,0.018622428920865058
173.0,0.8784,0.8340943371132015,0.01847274716794491
174.0,0.8789,0.9105643179267648,0.018434493179619312
175.0,0.8794,0.9011183630675079,0.01839721598774195
176.0,0.8796,0.8695627388854821,0.01834295321702957
177.0,0.8801,0.9063672538350026,0.018302697230875492
178.0,0.8801,0.9444001019746064,0.018383354333043098
179.0,0.8797,0.9726091709484657,0.018445548959076404
180.0,0.8805,0.8633446304127574,0.018369342847168447
181.0,0.8798,0.9341959062467021,0.018501027388870717
182.0,0.88,1.0383417762691776,0.018864838381111623
183.0,0.8808,0.7910967160264653,0.018549771493673324
184.0,0.8805,0.8198385936270156,0.018271796095371245
185.0,0.8813,0.8896762321392696,0.01830946102887392
186.0,0.8816,0.8548572954038779,0.018242533944547175
187.0,0.882,0.7777578807870547,0.01798958609700203
188.0,0.882,0.8891114854440092,0.018037668737769127
189.0,0.8825,0.8466298787668348,0.017989580941200255
190.0,0.8834,0.8841886057704686,0.0180364489197731
191.0,0.8828,0.8864749222497148,0.018070707620680332
192.0,0.8832,0.8413781958570083,0.01800497756153345
193.0,0.883,1.0295341364915171,0.018363322408497335
194.0,0.8826,0.9484136524423956,0.018582439577579497
195.0,0.8835,0.8123399572322766,0.01834268833398819
196.0,0.8839,0.8778547022243339,0.018345981019735336
197.0,0.8836,0.8400215048342943,0.01815507534444332
198.0,0.8844,0.8024636946370205,0.017970182950794698
199.0,0.8852,0.7687745371088387,0.01760363397151232
