epoch,test_acc,train_loss_updated,test_loss
0.0,0.1139,2.301884722709656,0.07185862891674041
1.0,0.1436,2.287290991743405,0.07136132550239563
2.0,0.1828,2.2711041790246966,0.07086715714931488
3.0,0.2344,2.25517626563708,0.07036305501461029
4.0,0.2861,2.2399946399529767,0.06984872004985809
5.0,0.3382,2.223946192065874,0.06931723053455353
6.0,0.3842,2.207115399638812,0.06875908734798432
7.0,0.4391,2.1888546593983964,0.06817335777282715
8.0,0.4854,2.170021018584569,0.06755957715511322
9.0,0.5332,2.151275163888931,0.0669048907995224
10.0,0.5718,2.1294989963372553,0.06621036933660507
11.0,0.6028,2.107398381133874,0.06547388240098953
12.0,0.6238,2.081863311727842,0.0646906289935112
13.0,0.6402,2.0587040820717815,0.06386612188816071
14.0,0.6527,2.0324100595712666,0.06299184715747833
15.0,0.6629,2.003567257523537,0.0620678191781044
16.0,0.673,1.971972765028477,0.061090978562831875
17.0,0.6822,1.9446198329329492,0.06007063016891479
18.0,0.6903,1.9073408462603887,0.05899572069644928
19.0,0.6976,1.8749672379096343,0.05787161853313446
20.0,0.7034,1.8383771485090257,0.05669833632707596
21.0,0.7116,1.8005694227417313,0.0554798064827919
22.0,0.7162,1.7615318506956104,0.05422021132707596
23.0,0.7232,1.7247824108600618,0.0529309839129448
24.0,0.7264,1.6794618709882105,0.051611533617973326
25.0,0.7319,1.6405276980002719,0.05026390045881271
26.0,0.738,1.599910782178243,0.04890761229991913
27.0,0.742,1.5512052487333616,0.04753511357307434
28.0,0.7461,1.5093360820412633,0.04616892772912979
29.0,0.7488,1.467846973836422,0.04481046929359436
30.0,0.7535,1.427740456362565,0.043469723033905026
31.0,0.7582,1.3869208908081057,0.04215620321631432
32.0,0.7631,1.3438099202513696,0.040870770919322966
33.0,0.7688,1.3026306511461736,0.03962097544670105
34.0,0.7742,1.2645123567680518,0.03841283258199692
35.0,0.7762,1.2270638111730416,0.03725278803110123
36.0,0.7813,1.1941091696421307,0.03613913585543632
37.0,0.7874,1.1603329052527742,0.03506612340211868
38.0,0.7912,1.121851849555969,0.03404541059136391
39.0,0.795,1.0970860861241816,0.0330726961672306
40.0,0.7974,1.059692011376222,0.032144870913028714
41.0,0.8029,1.0331099863847097,0.03126288432478905
42.0,0.8051,1.0036088778078558,0.030429302763938904
43.0,0.8087,0.9748146461943783,0.02963765207529068
44.0,0.8112,0.9540417150656383,0.02889156959056854
